panel,delta,input,T,y,width,p0,coherent,omitted_cross,nonlinear,cc,cl,ll
a,1e-06,1,242.44843145461283,-14.8,139.78180006918654,0.03679019946676568,-0.00012239403249324538,-6.362333209373485e-05,-0.00012218009636893318,-2.0053541578231337e-05,-5.8770700399510526e-05,-4.35697905155035e-05
a,1e-06,1,242.44843145461283,-14.4,139.78180006918654,0.03679019946676568,-0.00011877614710840222,-6.196984508321028e-05,-0.0001185745662108384,-1.9014674086673912e-05,-5.6806302025191936e-05,-4.295517099653637e-05
a,1e-06,1,242.44843145461283,-14.0,139.78180006918654,0.03679019946676568,-0.00011521056316730576,-6.034540999742694e-05,-0.00011502079957394218,-1.8007611144612797e-05,-5.486515316987881e-05,-4.2337798852814145e-05
a,1e-06,1,242.44843145461283,-13.600000000000001,139.78180006918654,0.03679019946676568,-0.00011169729727469366,-5.874985036421882e-05,-0.00011151882904758548,-1.7031984336457528e-05,-5.2947446910474834e-05,-4.17178660277613e-05
a,1e-06,1,242.44843145461283,-13.200000000000001,139.78180006918654,0.03679019946676568,-0.00010823636701345528,-5.7182996869742667e-05,-0.00010806868691848326,-1.6087430736055958e-05,-5.105337014371261e-05,-4.109556613368671e-05
a,1e-06,1,242.44843145461283,-12.8,139.78180006918654,0.03679019946676568,-0.00010482779151948187,-5.564468766576945e-05,-0.00010467040839139824,-1.5173593282947259e-05,-4.9183103853712414e-05,-4.0471094382822195e-05
a,1e-06,1,242.44843145461283,-12.4,139.78180006918654,0.03679019946676568,-0.00010147159204743222,-5.413476866448505e-05,-0.00010132402881132124,-1.429012114705754e-05,-4.733682338294717e-05,-3.984464751742751e-05
a,1e-06,1,242.44843145461283,-12.0,139.78180006918654,0.03679019946676568,-9.816779252694843e-05,-5.265309382073991e-05,-9.802958664917316e-05,-1.3436670081874605e-05,-4.5514698706208517e-05,-3.921642373886531e-05
a,1e-06,1,242.44843145461283,-11.600000000000001,139.78180006918654,0.03679019946676568,-9.491642010879336e-05,-5.11995254017186e-05,-9.47871247520618e-05,-1.2612902766122376e-05,-4.371689470707475e-05,-3.8586622635596225e-05
a,1e-06,1,242.44843145461283,-11.200000000000001,139.78180006918654,0.03679019946676568,-9.171750570097127e-05,-4.977393424434974e-05,-9.159668736245796e-05,-1.1818489133939787e-05,-4.1943571456621527e-05,-3.7955445110409954e-05
a,1e-06,1,242.44843145461283,-10.8,139.78180006918654,0.03679019946676568,-8.857108449389894e-05,-4.8376200000130503e-05,-8.845832371956464e-05,-1.1053106693650262e-05,-4.019488449376844e-05,-3.732309330648024e-05
