record_index,delta,L_B,constraint_residual,finite_q_relative_error,incoming_plateau,outgoing_plateau
94,9.999999717180685e-09,13.768584650726218,2.2658574376988617e-16,4.062269413832724e-10,True,True
95,9.999999717180685e-09,18.37375484378479,3.346750015375667e-16,6.836378644880738e-10,True,True
96,9.999999717180685e-09,11.005482534891074,1.0347784458344793e-15,4.8254081960212734e-08,True,True
97,9.999999717180685e-09,13.768584650726218,2.2658574376988617e-16,4.062269413832724e-10,True,True
98,9.999999717180685e-09,18.37375484378479,3.346750015375667e-16,6.836378644880738e-10,True,True
99,9.999999717180685e-09,11.005482534891074,1.0347784458344793e-15,4.8254081960212734e-08,True,True
100,9.999999717180685e-09,13.768584650726218,2.2658574376988617e-16,4.062269413832724e-10,True,True
101,9.999999717180685e-09,18.37375484378479,3.346750015375667e-16,6.836378644880738e-10,True,True
102,9.999999717180685e-09,11.005482534891074,1.0347784458344793e-15,4.8254081960212734e-08,True,True
103,9.999999717180685e-09,13.768584650726218,2.2658574376988617e-16,4.062269413832724e-10,True,True
104,9.999999717180685e-09,18.37375484378479,3.346750015375667e-16,6.836378644880738e-10,True,True
105,9.999999717180685e-09,10.605479689193691,9.053595861645996e-16,9.175072732992485e-08,True,True
106,9.999999717180685e-09,13.368581805028837,9.842291129747282e-16,4.778166584121773e-08,True,True
107,9.999999717180685e-09,17.973751998087412,3.3467613012292273e-16,6.633287631528968e-10,True,True
108,9.999999717180685e-09,10.610488044816927,1.0159076806126956e-15,9.177941837264171e-08,True,True
109,9.999999717180685e-09,13.373590160652073,9.397974545387495e-16,4.778096570649725e-08,True,True
110,9.999999717180685e-09,17.978760353710648,3.3467693704286093e-16,6.63550128406628e-10,True,True
111,9.999999717180685e-09,10.610488044816927,1.0159076806126956e-15,9.177941879831268e-08,True,True
112,9.999999717180685e-09,13.373590160652071,9.397974545387495e-16,4.778096570649725e-08,True,True
113,9.999999717180685e-09,17.978760353710648,3.3467693704286093e-16,6.63550128406628e-10,True,True
114,9.999999717180685e-09,10.610488044816927,1.0159076806126956e-15,9.177941879831268e-08,True,True
115,9.999999717180685e-09,13.373590160652071,9.397974545387495e-16,4.778096570649725e-08,True,True
116,9.999999717180685e-09,17.978760353710648,3.3467693704286093e-16,6.63550128406628e-10,True,True
117,9.999999717180685e-09,10.610488044816927,1.0159076806126956e-15,9.177941879831268e-08,True,True
118,9.999999717180685e-09,13.373590160652071,9.397974545387495e-16,4.7780965543852454e-08,True,True
119,9.999999717180685e-09,17.978760353710648,3.3467693704286093e-16,6.63550128406628e-10,True,True
120,9.999999717180685e-09,10.25394798774513,7.739454407121985e-16,8.970675964090352e-08,True,True
121,9.999999717180685e-09,13.017050103580276,1.0434577114616759e-15,4.7830893860171906e-08,True,True
